League,Season,Date,HomeTeam,AwayTeam,Predicted,Actual,Correct,HomeProb,DrawProb,AwayProb,Confidence,MarketHome,MarketDraw,MarketAway,MLHome,MLDraw,MLAway,PoissonHome,PoissonDraw,PoissonAway,LambdaHome,LambdaAway
SP1,2011/12,21/04/12,Mallorca,Zaragoza,A,H,0,0.33795768638647844,0.30839208333680224,0.3536502302767194,0.3536502302767194,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3579282139485364,0.2802693117688302,0.36180247428263346,0.20446646885940764,0.31208452748323956,0.4834490036573528,1.2687987623680874,0.7287521975522554
SP1,2011/12,21/04/12,Sevilla,Levante,H,D,0,0.3813904987830687,0.29727475697206257,0.3213347442448688,0.3813904987830687,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.449711881665686,0.26569180934437614,0.2845963089899378,0.2470697073368669,0.2209355220085315,0.5319947706546017,2.133992182895235,1.4213433004161011
SP1,2011/12,21/04/12,Sp Gijon,Vallecano,A,H,0,0.30375758802291736,0.34325069774820965,0.35299171422887293,0.35299171422887293,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2751162025326922,0.3726293177475254,0.3522544797197824,0.2657726043307837,0.17801676190313181,0.5562106337660845,2.9425135922964336,2.082208010358937
D1,2011/12,22/04/12,Augsburg,Schalke 04,A,D,0,0.29232930788312694,0.33687686325390986,0.3707938288629633,0.3707938288629633,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2569054109201554,0.3646962607417732,0.3783983283380714,0.3445559027156658,0.24571014940739672,0.4097339478769375,1.715040457207464,1.560654980946832
D1,2011/12,22/04/12,Hannover,Freiburg,A,D,0,0.32618778325122,0.30099021406322074,0.37282200268555926,0.37282200268555926,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3558027069889976,0.30708410744988496,0.33711318556111747,0.21003083752530033,0.22306112848719897,0.5669080339875008,2.0861392301094925,1.2147757167710815
E0,2011/12,22/04/12,Liverpool,West Bromwich Albion,H,A,0,0.3594122603147226,0.3459729891991287,0.29461475048614866,0.3594122603147226,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.39726530081729367,0.36295288146760946,0.23978181771509696,0.15166023063755574,0.2603114211722044,0.58802834819024,1.6372865084329578,0.7110475855410301
E0,2011/12,22/04/12,Manchester United,Everton,H,D,0,0.5002894169302383,0.2706778818905062,0.22903270117925542,0.5002894169302383,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6600529450873648,0.23384738627637466,0.10609966863626062,0.0785392759770893,0.17456972210333604,0.7468910019195746,2.3066420971623716,0.6275673711698614
E0,2011/12,22/04/12,Wolverhampton Wanderers,Manchester City,A,A,1,0.28267552168774784,0.2661307749336679,0.45119370337858433,0.45119370337858433,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.18901319344042825,0.23484230264606182,0.57614450391351,0.907698639243579,0.07268350290001038,0.01961785785641066,0.4324798208696731,3.4
F1,2011/12,22/04/12,Ajaccio,Nancy,H,D,0,0.35971850115174003,0.3207297661863559,0.31955173266190406,0.35971850115174003,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3875889578488842,0.29809955679110184,0.3143114853600139,0.4269916935770603,0.36313220273163677,0.20987610369130294,0.6036116235772716,0.9849315131842933
F1,2011/12,22/04/12,Lyon,Lorient,D,H,0,0.3409002513881543,0.34553735032836336,0.31356239828348237,0.34553735032836336,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3821625629418489,0.38740378409617,0.23043365296198098,0.09403785756162816,0.14485006713124024,0.7611120753071317,2.9303694427169273,0.9974918049917983
F1,2011/12,22/04/12,Paris Saint-Germain,Sochaux,H,H,1,0.38542583457849605,0.3346571170566852,0.2799170483648188,0.38542583457849605,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.49258605153609686,0.35842918910222843,0.14898475936167477,0.10116161261447965,0.15904216164920942,0.739796225736311,2.7089196096913635,0.9450518841869546
I1,2011/12,22/04/12,Cesena,Palermo,A,D,0,0.2818587130513322,0.3515079093614951,0.3666333775871727,0.3666333775871727,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.21473405014921335,0.3728260150794027,0.41243993477138396,0.48983375953451,0.3018980364358753,0.2082682040296147,0.7768750652708705,1.3349249321212293
I1,2011/12,22/04/12,Fiorentina,Inter Milan,A,D,0,0.321638289538965,0.31183201299655694,0.366529697464478,0.366529697464478,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2908512683923166,0.2964224488735159,0.4127262827341674,0.524253106856134,0.2724157711959797,0.20333112194788633,0.8816673327363583,1.5621760763317554
I1,2011/12,22/04/12,Genoa,Siena,A,A,1,0.2959229451424445,0.3508343551917342,0.3532426996658213,0.3532426996658213,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.253570618204081,0.3742991929170238,0.3721301888788953,0.38275272080808076,0.27369517466444676,0.3435521045274724,1.3287901378706866,1.4144823582881776
I1,2011/12,22/04/12,Juventus,AS Roma,H,H,1,0.3903416755528504,0.2888529825433389,0.32080534190381077,0.3903416755528504,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4762560476513921,0.2669614341117762,0.2567825182368318,0.04427303454308614,0.10744530974901653,0.8482816557078973,3.11518437287633,0.6500772723569391
I1,2011/12,22/04/12,Lazio,Lecce,H,D,0,0.3628753806446083,0.32515518199147525,0.31196943736391647,0.3628753806446083,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4030341389935495,0.32095941598366856,0.27600644502278193,0.22716622295667055,0.2935094799928199,0.47932429705050955,1.386516915932721,0.8736750641218828
I1,2011/12,22/04/12,AC Milan,Bologna,H,D,0,0.44606651459508645,0.3025100599842042,0.25142342542070933,0.44606651459508645,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.567039516176558,0.270186391809347,0.162774092014095,0.2509351301361498,0.348337281590614,0.40072758827323623,1.016243841610549,0.7435864549918695
N1,2011/12,22/04/12,Ajax,Groningen,H,H,1,0.4594043488454749,0.20343313177742517,0.33716251937709996,0.4594043488454749,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6506483831203738,0.182514215904742,0.16683740097488414,0.010674506029576177,0.04932398460897681,0.940001509361447,3.8,0.35804090284734397
N1,2011/12,22/04/12,AZ Alkmaar,VVV Venlo,H,H,1,0.5519237597280999,0.17363632668645496,0.2744399135854453,0.5519237597280999,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8080933953457652,0.11783986858764785,0.07406673606658702,0.037863281257112365,0.08945416840024263,0.8726825503426451,3.470102672704125,0.7004320275702803
